Jap Kanji,English
結果 ,Result
調査 ,investigation 
研究 ,the study 
何処 ,Where
発見 ,discovery 
場 ,Place
大事 ,Important
止ま ,Stopping
興味 ,interest 
大き ,big 
生 ,Living 
なあ ,What
運転 ,driving 
ヶ月 ,months 
多 ,Many
１人 ,One person
番号 ,number 
状態 ,situation 
来い ,come 
開 ,Open
上手 ,good 
済 ,done 
場合 ,case 
刑務 ,Sentence
今度 ,next time 
以外 ,other than 
朝 ,morning 
飛行 ,Flight
あまり ,not much 
近く ,near 
後ろ ,behind 
目的 ,the purpose 
歌 ,song 
面白 ,Fun
弁護 ,Defense
客 ,Customer
売 ,Selling
特別 ,special 
昨日 ,Yesterday
少な ,Small
認め ,Recognition
死体 ,Corpse
医者 ,doctor 
装置 ,Device 
共 ,Both 
唯一 ,Only 
あんな ,Such a thing
不明 ,not clear 
限り ,as long as 
信用 ,Trust
美し ,beautiful 
用意 ,preparation 
話せ ,Talk
移動 ,Migration
映画 ,movie 
美咲 ,Beautiful Saki
取引 ,transaction 
最近 ,recently 
現場 ,Site
事故 ,Accident
連中 ,Their colleagues
過去 ,Past
全く ,absolutely 
選択 ,choice 
完全 ,Perfect 
信じ ,Belief
信頼 ,trust 
町 ,town 
何故 ,Why
始ま ,Beginning
精神 ,Spirit
付け ,Attachment
あら ,fault 
女の子 ,girl 
気づ ,Awareness
記憶 ,Memory 
頑張 ,Hard -working
人 ,Man 
素敵 ,nice 
身 ,Body
価値 ,value 
有 ,Existence
非常 ,Informal
三 ,Three
最も ,most 
両親 ,parents 
人物 ,Person
生まれ ,birth 
警備 ,Security
以前 ,Before 
無事 ,Safely
聞け ,Hear
決して ,never 
銀行 ,Bank 
馬鹿 ,Idiot
裁判 ,trial 
降り ,Falling off
大学 ,University
州 ,State
今回 ,this time 
空 ,Sky 
経験 ,experience 
本物 ,Real thing
部 ,Department
化 ,Change
未来 ,Future
正直 ,Honesty 
年間 ,Year
無駄 ,waste 
現れ ,Appearance
島 ,Island
病気 ,disease 
内 ,Inside
風 ,Wind 
結構 ,fine 
治療 ,Treatment
予定 ,schedule 
点 ,Point
人 ,Man 
許可 ,permission 
勇気 ,courage 
最悪 ,worst 
本気 ,Seriousness
全然 ,not at all 
任務 ,mission 
日本 ,Japan 
作戦 ,Strategy
成功 ,Success
進 ,Proceeding
近づ ,Close
品 ,Item
消 ,Extinguishing
小さな ,small 
科学 ,Science
放 ,Relief
向こう ,Across
事実 ,fact 
食 ,Food
関 ,Relation
戦い ,Fight 
少年 ,Boy
爆発 ,explosion 
現実 ,reality 
保護 ,Protection
地下 ,Underground
隊 ,Squad
地 ,Land
別れ ,farewell 
時代 ,Era
使え ,Useful
組織 ,Organization
式 ,Ceremony
落ち着け ,Calmness
動物 ,Animal
無し ,none 
下が ,Below
技術 ,Technology
個人 ,Individual
期待 ,Expectation
調子 ,condition 
線 ,Line
局 ,Bureau
利用 ,use 
主人 ,Master
館 ,Mansion
毎日 ,every day 
付 ,Attached
当然 ,Of course 
患者 ,Patient
全 ,All
今朝 ,this morning 
過ご ,Passing
馬 ,Horse 
あー ,ah 
あたし ,I
立て ,stand up 
地獄 ,Hell
： ,:
合 ,Agency
続 ,Continuation
陛下 ,His Majesty
小さ ,small 
火 ,Fire
平気 ,Calm
世話 ,care 
能力 ,Ability
理子 ,Riko
検査 ,inspection 
アレックス ,Alex 
木 ,wood 
号 ,Issue
山 ,Mountain 
解 ,Solution
警部 ,Police officer
食事 ,meal 
幸運 ,Good luck
構 ,Lingering
侵入 ,Invasion
駄目 ,Useless
緊急 ,Urgent
親父 ,Father
気付 ,Notice
主 ,main 
速 ,Speed
代わり ,Substitute
休 ,Rest
原因 ,Cause
警告 ,caveat 
山里 ,Mountain village
特に ,especially 
部下 ,subordinate 
運命 ,destiny 
到着 ,arrival 
自殺 ,Suicide
屋 ,Shop
現在 ,the current 
一部 ,Partially
行為 ,action 
遺体 ,Body
大切 ,important 
関わ ,Involved
常 ,Always
感情 ,Emotion
夕食 ,dinner 
星 ,Star 
達也 ,Tatsuya
手紙 ,letter 
混乱 ,Confusion
支配 ,Rule
影響 ,Impact
受け入れ ,accept 
知れ ,Acquaintance
行方 ,Whereabouts
少女 ,Girl
位 ,Position
半分 ,half 
誕生 ,Birth
超 ,Hyper 
施設 ,facility 
殺せ ,Kill
向け ,for 
機会 ,opportunity 
人類 ,Human race 
正確 ,correct 
色々 ,various 
活動 ,Activity
料理 ,cooking 
要求 ,Demand
再 ,Re -
指示 ,Instructions
部隊 ,Troops
何者 ,Who
音楽 ,music 
上げ ,Raising
管理 ,Management
映像 ,picture 
開始 ,Start
議員 ,Parliamentarians
反対 ,Opposition 
勝手 ,selfishness 
器 ,Vessel
反応 ,reaction 
可愛 ,cute 
権利 ,right 
女王 ,Queen
師 ,Teacher
大好き ,really like 
面倒 ,troublesome 
出発 ,departure 
引 ,Pulling out
保安 ,Security
上が ,Above
決ま ,Decision
楽しみ ,fun 
行き ,Going out
将軍 ,General
担当 ,in charge 
事態 ,Situation
一杯 ,a cup of 
近 ,Close
発 ,Departure
取り戻 ,Reconciliation
偉大 ,Greatness
結局 ,in the end 
ロシア ,Russia
司令 ,Command
平和 ,peace 
解放 ,Liberation
直 ,Direct
事務 ,Administrative office
瞬間 ,Moment
教授 ,Professor 
示 ,Indication
教会 ,Church
優し ,Kind
位置 ,Position
以来 ,Since
突然 ,Suddenly
付き合 ,Association
集中 ,concentration 
通信 ,communication 
あっち ,There
契約 ,contract 
異常 ,Abnormality
殺し ,Killing
部分 ,part 
様子 ,state 
沢山 ,Lot 
住所 ,address 
参加 ,Participation
旅 ,Journey 
社 ,Shrine
重 ,Heavy
自然 ,Nature 
殺害 ,Murder
園 ,Garden
速人 ,Fastjin
途中 ,in the middle 
証言 ,Testimony
夏美 ,Summer beauty
取れ ,Gain
前回 ,last time 
手術 ,Surgery
強盗 ,Robbery
種 ,Species
魔女 ,witch 
信号 ,Signal
専門 ,Specialty
閣下 ,Your Honor 
会議 ,meeting 
美月 ,Beautiful moon
提供 ,Providing
離 ,Separation
荷物 ,luggage 
安心 ,peace of mind 
基地 ,Base
目撃 ,Witness
動き ,Movement
指 ,Finger
〜 ,~
時々 ,sometimes 
怪物 ,Monster
会話 ,conversation 
受け取 ,Receipt
一致 ,Agreement
全体 ,whole 
徳井 ,Tokoi
アンタ ,You
親 ,Parent
天使 ,Angel
勝利 ,Victory
主義 ,Principle
旅行 ,trip 
死亡 ,Death
夫人 ,Mrs 
目標 ,the goal 
個 ,Individual 
中国 ,China
生徒 ,student 
建物 ,building 
確信 ,conviction 
出会 ,Meeting
使用 ,Use
台 ,Stand
社会 ,Society
周り ,Surroundings
市民 ,Citizen
色 ,color 
停止 ,Stop 
曲 ,song 
実験 ,experiment 
直接 ,Direct
川 ,River
ありがと ,thank you 
実行 ,execution 
半 ,Half
乗せ ,Boarding
後悔 ,Regret
案内 ,guidance 
禁止 ,Ban 
距離 ,Distance
次第 ,depend on 
感染 ,Infection
制御 ,control 
有名 ,famous 
戦闘 ,battle 
以内 ,Within
書類 ,document 
偶然 ,Accidentally
機械 ,Machine
最終 ,Final 
無視 ,ignore 
』 ,]
王子 ,Prince
呼吸 ,Breathing
巨人 ,Giant 
軍隊 ,army 
支援 ,support 
大人 ,adult 
同意 ,Consent
恋人 ,lover 
知り合い ,Acquaintance
努力 ,effort 
白 ,White 
足り ,Suffering
進め ,Advancement
惑星 ,planet 
味方 ,Ally
回復 ,recovery 
新聞 ,Newspaper
『 ,""""" """
話し ,Speech
アパート ,Apartment
組 ,Set
アア ,Ah
生き残 ,Survival
一生 ,lifetime 
処理 ,process 
兵器 ,Weapon
方向 ,Direction
決定 ,Decision
当た ,Afterwards
アクセス ,access 
満足 ,satisfaction 
クレア ,Claire
神経 ,Nerve
症 ,Illness
親友 ,Close friend 
流 ,Style
分析 ,Analysis
不思議 ,wonder 
限 ,Limit
半田 ,Solder
物語 ,story 
ア ,a 
練習 ,practice 
久し ,A long time
他人 ,Others
両方 ,both 
南 ,South
成長 ,Growth
～ ,~
再び ,again 
医 ,Doctor
指揮 ,Command
最大 ,Maximum
病 ,Illness
記事 ,article 
時計 ,clock 
アラン ,Alan
手段 ,Means
高校 ,high school 
太陽 ,Sun 
具合 ,Condition
青 ,Blue
向 ,Direction
才能 ,Talent
交換 ,exchange 
所有 ,Ownership
最低 ,Lowest
救急 ,Emergency
魅力 ,charm 
楽 ,easy 
応答 ,Response
最 ,Best
修理 ,repair 
勉強 ,study 
提案 ,suggestion 
資金 ,Funds
社長 ,president 
ありさ ,Existence
試合 ,game 
気の毒 ,Sorry
金持ち ,Rich man 
安定 ,Stability
指紋 ,Fingerprint
流れ ,Flow
経 ,Sutra
団 ,Group
代 ,Substitute
日間 ,Day
午後 ,afternoon 
政治 ,Politics
正体 ,Identity
確保 ,Securing
機能 ,function 
優秀 ,excellence 
動か ,move 
発生 ,occurrence 
英雄 ,hero 
立場 ,Position
電気 ,electricity 
帽子 ,Hat
効果 ,effect 
アンナ ,Anna
条件 ,Condition
確実 ,certainty 
連邦 ,Federation
規則 ,Rule
土地 ,Land
直ぐ ,Immediately
卒業 ,graduation 
手がかり ,Clue
自己 ,Selfishness
列車 ,Train
加減 ,Degree
暴力 ,Violence
立派 ,Splendid
石 ,Stone
同様 ,Same
不安 ,anxiety 
身体 ,Body
ライアン ,Ryan
無線 ,Wireless
対処 ,handle 
権 ,Right
起動 ,boot 
誤解 ,Misunderstanding
治 ,Cure
雄基 ,Male group
接触 ,Contact
名誉 ,Honor
説得 ,Persuasion
特定 ,identification 
標的 ,Target
正義 ,Justice
見張 ,Insight
導 ,Guidance
無実 ,Innocence
アイツ ,Guys
興奮 ,Excitement
承知 ,Understood 
納得 ,Consent 
光栄 ,Honor 
本部 ,Headquarters
変更 ,change 
大佐 ,Colonel 
空気 ,air 
支払 ,Payment
あらゆる ,every 
表 ,table 
片付け ,Cleaning up
アダム ,Adam
地図 ,map 
法律 ,Law
医療 ,medical care 
台無し ,ruin 
非 ,Unlucky
貴様 ,You
形 ,shape 
評価 ,evaluation 
都市 ,City 
出身 ,Birthplace 
釈放 ,Release
大した ,Great
保証 ,guarantee 
予想 ,prediction 
省 ,Ministry
疑問 ,Question
同僚 ,colleague 
変化 ,change 
交渉 ,negotiation 
合わせ ,Match
生命 ,Life
村 ,village 
作業 ,Work
将来 ,future 
面 ,Face
悠里子 ,Yuriko
空港 ,airport 
指輪 ,ring 
巨大 ,Huge
西 ,West 
手配 ,Arrangement
工場 ,factory 
城 ,Castle
取り ,take 
話し合 ,Discussion
東 ,East
あるいは ,or 
目覚め ,Awakening
金庫 ,Safe
間違え ,Mistake
馬場 ,Baba 
内部 ,Internal
艦隊 ,Fleet
食料 ,Food
あり ,can be 
保険 ,insurance 
得意 ,good at 
医師 ,Doctor
英語 ,English 
離婚 ,Divorce
子ども ,Child 
違反 ,Violation
公 ,Public
維持 ,Maintaining
男の子 ,boy 
政子 ,Government
味 ,taste 
口座 ,Account
大勢 ,large crowd 
鉄 ,iron 
親切 ,Kindness
仕業 ,Work
贈り物 ,gift 
待機 ,stand-by 
戦士 ,Warrior
知らせ ,News
尋問 ,Interrogation
発射 ,Launch
食べ物 ,food 
系 ,System
駅 ,station 
開発 ,development 
事情 ,Situation
育て ,Raising
上司 ,boss 
国家 ,Nation
大使 ,Ambassador
機関 ,institution 
生物 ,Creature
超え ,Beyond
天才 ,Genius
量 ,Quantity
横 ,beside 
観 ,View
入り ,enter 
正気 ,Insane
人質 ,Hostage
有罪 ,Guilty
約 ,about 
中止 ,cancel 
発表 ,announcement 
現金 ,Cash
始末 ,Cleaning up
撮影 ,photograph 
衛星 ,Satellite
都合 ,convenience 
関連 ,connection 
間に合 ,In time
小屋 ,Hut
公園 ,Park
単純 ,Simple
王国 ,Kingdom
存知 ,Knowing
加え ,In addition
道路 ,Road
育 ,Raising
神父 ,Priest
慎重 ,Awareness
生存 ,Survival
注文 ,order 
物質 ,Substance
関心 ,interest 
時期 ,Time
駐車 ,Parking 
乗れ ,Riding
遺伝 ,Hereditary
返事 ,reply 
エイリアン ,Alien
化学 ,Chemistry
数え ,Counting
緊張 ,Nervousness
優先 ,priority 
米国 ,US 
当て ,Welcome
出来事 ,event 
設計 ,Design
大量 ,Mass
投げ ,Throwing
内容 ,Content
機密 ,Secret
授業 ,class 
義務 ,Duty
突き止め ,Discontinuation
広 ,Widespread
通報 ,Report
文字 ,letter 
アップ ,Up
学生 ,student 
オリビア ,Olivia
暗殺 ,Assassination
注目 ,attention 
暗号 ,Cipher
背中 ,back 
囚人 ,Prisoner
完成 ,Complete 
休み ,holiday 
孤独 ,Loneliness
アイデア ,idea 
武装 ,Armament
果た ,End
地域 ,region 
始まり ,Beginning
見事 ,Brilliant
防衛 ,Defense
人形 ,doll 
カリフォルニア ,California
着陸 ,Landing
文句 ,Complaint
委員 ,Committee member
地元 ,Local
自信 ,Confidence
貴女 ,You
知識 ,Knowledge
予約 ,reservation 
メアリー ,Mary
椅子 ,Chair 
教師 ,Teacher
賛成 ,agreement 
操作 ,Operation
要請 ,Request
記者 ,Reporter
今後 ,from now on 
畜生 ,damn it 
伝説 ,Legend 
主張 ,Claim
民 ,People
自ら ,oneself 
死者 ,Dead
